,管理頁面(management_pages),商業邏輯(action_pages),關聯邏輯(relate_action),關聯模組(relate_model),使用欄位(select_column),異動欄位(modify_column),刪除記錄(delete_column),備註
,,Operation::Machine::WorkerInfo,,Staff,"id
name",,,
,,Operation::Machine::WorkerInfo,,WorkingHour,"logint_at
logout_at
worker_id",,,
,,Operation::Machine::WorkerInfo,,ManufactureOrder,online_at,,,
,,Operation::Machine::WorkerInfo,,MoProduceRecord,"produce_at
productor_id",,,
,,Operation::Machine::WorkerInfo,,Lot,"weight
offline_at
state",,,
,,Operation::Mo::BasicInfo,,ManufactureOrder,"online_at
offline_at
machine_id
product_name",,,
,,Operation::Mo::BasicInfo,,Machine,name,,,
,,Operation::Mo::LotInfo,,ManufactureOrder,id,,,
,,Operation::Mo::LotInfo,,Lot,"id
lot_no
offline_at
recorder_id
reponse_at
work_date",,,
,,Operation::Mo::LotInfo,,MoProduceRecord,produce_at,,,
,,Operation::Mo::LotInfo,,Staff,name,,,
,,Operation::Mo::MachineInfo,,ManufactureOrder,"id
online_at",,,
,,Operation::Mo::MachineInfo,,MoProduceRecord,"id
produce_at
state",,,
,,Operation::Mo::MachineInfo,,Lot,"id
weight
offline_at
state",,,
,,Operation::Mo::SideBarInfo,,ManufactureOrder,"id
online_at
offline_at
online_recorder_id
offline_recorder_id",,,
,,Operation::Mo::SideBarInfo,,WorkerMachineMapping,mo_ids,,,
,,Operation::Mo::SideBarInfo,,WorkingHour,"logint_at
logout_at
worker_id",,,
,,Operation::Mo::SideBarInfo,,MoProduceRecord,"produce_at
productor_id
state",,,
,,Operation::Mo::SideBarInfo,,Staff,name,,,
,,Operation::Mo::WorkerInfo,,WorkerMachineMapping,"mo_ids
working_hour_id",,,
,,Operation::Mo::WorkerInfo,,WorkingHour,"logint_at
logout_at
worker_id",,,
,,Operation::Mo::WorkerInfo,,Staff,"id
name",,,
,,Operation::Mo::WorkerInfo,,ManufactureOrder,"id
offline_at",,,
,,Operation::Mo::WorkerInfo,,Lot,"weight
recorder_id
state",,,
,報表管理,Report::Output,,MoProduceRecord,,,,返回物件
,,Report::Output,,Machine,id,,,僅使用
